region	tip_taxon_count	analyzed_taxon_fraction
europe	1	0.1111111111111111
north_america	1	0.1111111111111111
north_asia	5	0.5555555555555556
south_america	1	0.1111111111111111
south_asia	1	0.1111111111111111
