line_id	line_kind	source_label	target_label	source_latitude	source_longitude	target_latitude	target_longitude	child_descendant_taxa	support	midpoint_depth	branch_length	distance_km	state_transition	flag_codes	visible
bat_chile_rv108	region_transition	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108	55.0	82.9	-23.55	-58.44	bat_chile_rv108	0.441176468813149	0.0	0.0	15294.9585495503	north_asia->south_america	weak	true
bat_chile_rv50	region_transition	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50	55.0	82.9	39.83	-98.58	bat_chile_rv50	0.544642856174267	0.0730227384	0.035975039	9469.54546969932	north_asia->north_america	weak	true
dog_pakistan_pdb011	region_transition	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	dog_pakistan_pdb011	55.0	82.9	29.5	76.0	dog_pakistan_pdb011	0.608028820994382	0.23829727355	0.0944972697	2888.51911246504	north_asia->south_asia	moderate	true
raccoon_dog_poland_2021	region_transition	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_poland_2021	55.0	82.9	52.2	19.15	raccoon_dog_poland_2021	0.646984011473596	0.27017854725	0.0320517235	4070.53290509715	north_asia->europe	moderate	true
