clade_id	node_label	trait_kind	taxon_count	taxa	coverage_fraction	mean	median	minimum	maximum	range_width	mean_delta_from_global	dominant_state	dominant_state_count	dominant_state_fraction	dominant_state_enrichment	distinct_state_count	state_counts	distribution_shift	exceptionality_score	exceptional	rank
Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Serinus_canaria|Serinus_serinus		categorical	6	Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Serinus_canaria,Serinus_serinus	0.0638297872340425							pair	6	1	0.382978723404255	1	pair=6	0.382978723404255	0.096757880292749	false	16
Aphelocoma_coerulescens|Aphelocoma_ultramarina		categorical	2	Aphelocoma_coerulescens,Aphelocoma_ultramarina	0.0212765957446809							cooperative	1	0.5	0.329787234042553	2	cooperative=1;polyandrous=1	0.617021276595745	0.0900018032646583	false	17
Gallinula_chloropus|Porphyrio_porphyrio		categorical	2	Gallinula_chloropus,Porphyrio_porphyrio	0.0212765957446809							cooperative	1	0.5	0.329787234042553	2	cooperative=1;polyandrous=1	0.617021276595745	0.0900018032646583	false	18
Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus		categorical	5	Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus	0.0531914893617021							polyandrous	3	0.6	0.387234042553191	2	polyandrous=3;pair=2	0.387234042553191	0.0893088722666261	false	19
Corvus_brachyrhynchos|Corvus_corone|Pica_pica		categorical	3	Corvus_brachyrhynchos,Corvus_corone,Pica_pica	0.0319148936170213							cooperative	2	0.666666666666667	0.49645390070922	2	cooperative=2;pair=1	0.49645390070922	0.0886901987069765	false	20
Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus|Aegithalos_caudatus|Agelaius_phoeniceus|Alauda_arvensis|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Baeolophus_bicolor|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Delichon_urbicum|Dendroica_caerulescens|Dolichonyx_oryzivorus|Erithacus_rubecula|Ficedula_albicollis|Ficedula_hypoleuca|Hirundo_rustica|Icterus_galbula|Passerculus_sandwichensis|Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus|Prunella_collaris|Prunella_modularis|Serinus_canaria|Serinus_serinus|Sialia_currucoides|Sialia_mexicana|Sialia_sialis|Spizella_pusilla|Tachycineta_bicolor|Taeniopygia_guttata|Thryothorus_ludovicianus|Troglodytes_aedon|Turdus_merula|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis|Zosterops_lateralis		categorical	46	Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus,Aegithalos_caudatus,Agelaius_phoeniceus,Alauda_arvensis,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Baeolophus_bicolor,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Delichon_urbicum,Dendroica_caerulescens,Dolichonyx_oryzivorus,Erithacus_rubecula,Ficedula_albicollis,Ficedula_hypoleuca,Hirundo_rustica,Icterus_galbula,Passerculus_sandwichensis,Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus,Prunella_collaris,Prunella_modularis,Serinus_canaria,Serinus_serinus,Sialia_currucoides,Sialia_mexicana,Sialia_sialis,Spizella_pusilla,Tachycineta_bicolor,Taeniopygia_guttata,Thryothorus_ludovicianus,Troglodytes_aedon,Turdus_merula,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis,Zosterops_lateralis	0.48936170212766							pair	29	0.630434782608696	0.013413506012951	3	pair=29;polyandrous=15;cooperative=2	0.126734505087882	0.0886563530426903	false	21
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Dolichonyx_oryzivorus|Icterus_galbula|Passerculus_sandwichensis|Spizella_pusilla|Zonotrichia_albicollis		categorical	8	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Dolichonyx_oryzivorus,Icterus_galbula,Passerculus_sandwichensis,Spizella_pusilla,Zonotrichia_albicollis	0.0851063829787234							pair	4	0.5	-0.117021276595745	2	pair=4;polyandrous=4	0.287234042553192	0.0837947823498543	false	22
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Dendroica_caerulescens|Dolichonyx_oryzivorus|Icterus_galbula|Passerculus_sandwichensis|Spizella_pusilla|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis		categorical	11	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Dendroica_caerulescens,Dolichonyx_oryzivorus,Icterus_galbula,Passerculus_sandwichensis,Spizella_pusilla,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis	0.117021276595745							pair	6	0.545454545454545	-0.0715667311411993	2	pair=6;polyandrous=5	0.241779497098646	0.0827088315919046	false	23
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Dendroica_caerulescens|Dolichonyx_oryzivorus|Icterus_galbula|Passerculus_sandwichensis|Prunella_collaris|Prunella_modularis|Serinus_canaria|Serinus_serinus|Spizella_pusilla|Taeniopygia_guttata|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis		categorical	22	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Dendroica_caerulescens,Dolichonyx_oryzivorus,Icterus_galbula,Passerculus_sandwichensis,Prunella_collaris,Prunella_modularis,Serinus_canaria,Serinus_serinus,Spizella_pusilla,Taeniopygia_guttata,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis	0.234042553191489							pair	14	0.636363636363636	0.0193423597678917	2	pair=14;polyandrous=8	0.170212765957447	0.0823454377611739	false	24
Acrocephalus_melanopogon|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus		categorical	3	Acrocephalus_melanopogon,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus	0.0319148936170213							polyandrous	2	0.666666666666667	0.453900709219858	2	polyandrous=2;pair=1	0.453900709219858	0.0810881816749499	false	25
Agelaius_phoeniceus|Dolichonyx_oryzivorus|Icterus_galbula		categorical	3	Agelaius_phoeniceus,Dolichonyx_oryzivorus,Icterus_galbula	0.0319148936170213							polyandrous	2	0.666666666666667	0.453900709219858	2	polyandrous=2;pair=1	0.453900709219858	0.0810881816749499	false	26
Ammodramus_caudacutus|Ammodramus_maritimus|Passerculus_sandwichensis		categorical	3	Ammodramus_caudacutus,Ammodramus_maritimus,Passerculus_sandwichensis	0.0319148936170213							polyandrous	2	0.666666666666667	0.453900709219858	2	polyandrous=2;pair=1	0.453900709219858	0.0810881816749499	false	27
Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus		categorical	3	Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus	0.0319148936170213							polyandrous	2	0.666666666666667	0.453900709219858	2	polyandrous=2;pair=1	0.453900709219858	0.0810881816749499	false	28
Prunella_collaris|Prunella_modularis|Taeniopygia_guttata		categorical	3	Prunella_collaris,Prunella_modularis,Taeniopygia_guttata	0.0319148936170213							polyandrous	2	0.666666666666667	0.453900709219858	2	polyandrous=2;pair=1	0.453900709219858	0.0810881816749499	false	29
