branch_id	parent_node	child_node	child_descendant_taxa	branch_length	parent_depth	child_depth	midpoint_depth	source_region	target_region	support	strongly_supported	confidence_class
bat_chile_rv108	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108	bat_chile_rv108	0.0	0.0	0.0	0.0	north_asia	south_america	0.441176468813149	false	weak
bat_chile_rv50	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50	bat_chile_rv50	0.035975039	0.0550352189	0.0910102579	0.0730227384	north_asia	north_america	0.544642856174267	false	weak
dog_pakistan_pdb011	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	dog_pakistan_pdb011	dog_pakistan_pdb011	0.0944972697	0.1910486387	0.2855459084	0.23829727355	north_asia	south_asia	0.608028820994382	false	moderate
raccoon_dog_poland_2021	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_poland_2021	raccoon_dog_poland_2021	0.0320517235	0.2541526855	0.286204409	0.27017854725	north_asia	europe	0.646984011473596	false	moderate
