clade_id	node_label	trait_kind	taxon_count	taxa	coverage_fraction	mean	median	minimum	maximum	range_width	mean_delta_from_global	dominant_state	dominant_state_count	dominant_state_fraction	dominant_state_enrichment	distinct_state_count	state_counts	distribution_shift	exceptionality_score	exceptional	rank
Hordeum_marinum|Leymus_arenarius		categorical	2	Hordeum_marinum,Leymus_arenarius	0.0476190476190476							geophyte	1	0.5	0.333333333333333	2	geophyte=1;therophyte=1	0.476190476190476	0.103913281064758	false	31
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Calystegia_soldanella|Centaurium_littorale|Glaux_maritima|Plantago_coronopus|Plantago_maritima|Tripleurospermum_maritimum		categorical	9	Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Calystegia_soldanella,Centaurium_littorale,Glaux_maritima,Plantago_coronopus,Plantago_maritima,Tripleurospermum_maritimum	0.214285714285714							hemicryptophyte	4	0.444444444444444	0.0396825396825397	4	hemicryptophyte=4;chamaephyte=2;therophyte=2;geophyte=1	0.214285714285714	0.0991950106899162	false	32
Alopecurus_bulbosus|Ammophila_arenaria|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		categorical	6	Alopecurus_bulbosus,Ammophila_arenaria,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.142857142857143							hemicryptophyte	4	0.666666666666667	0.261904761904762	3	hemicryptophyte=4;geophyte=1;therophyte=1	0.261904761904762	0.0989906953119404	false	33
Artemisia_maritima|Artemisia_rupestris|Aster_tripolium|Calystegia_soldanella|Centaurium_littorale|Plantago_coronopus|Plantago_maritima|Tripleurospermum_maritimum		categorical	8	Artemisia_maritima,Artemisia_rupestris,Aster_tripolium,Calystegia_soldanella,Centaurium_littorale,Plantago_coronopus,Plantago_maritima,Tripleurospermum_maritimum	0.19047619047619							hemicryptophyte	3	0.375	-0.0297619047619048	4	hemicryptophyte=3;chamaephyte=2;therophyte=2;geophyte=1	0.202380952380952	0.0883262889050445	false	34
Cakile_maritima|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima		categorical	5	Cakile_maritima,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima	0.119047619047619							hemicryptophyte	3	0.6	0.195238095238095	2	hemicryptophyte=3;therophyte=2	0.238095238095238	0.0821506618264707	false	35
Alopecurus_bulbosus|Ammophila_arenaria|Hordeum_marinum|Leymus_arenarius|Parapholis_strigosa|Puccinellia_distans|Puccinellia_limosa|Puccinellia_maritima		categorical	8	Alopecurus_bulbosus,Ammophila_arenaria,Hordeum_marinum,Leymus_arenarius,Parapholis_strigosa,Puccinellia_distans,Puccinellia_limosa,Puccinellia_maritima	0.19047619047619							hemicryptophyte	4	0.5	0.0952380952380952	3	hemicryptophyte=4;geophyte=2;therophyte=2	0.178571428571429	0.0779349607985687	false	36
Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis		categorical	3	Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis	0.0714285714285714							hemicryptophyte	2	0.666666666666667	0.261904761904762	2	hemicryptophyte=2;therophyte=1	0.261904761904762	0.0699969919294445	false	37
Calystegia_soldanella|Centaurium_littorale|Plantago_coronopus|Plantago_maritima		categorical	4	Calystegia_soldanella,Centaurium_littorale,Plantago_coronopus,Plantago_maritima	0.0952380952380952							hemicryptophyte	2	0.5	0.0952380952380952	3	hemicryptophyte=2;geophyte=1;therophyte=1	0.178571428571429	0.0551083392721757	false	38
Cakile_maritima|Crambe_maritima		categorical	2	Cakile_maritima,Crambe_maritima	0.0476190476190476							hemicryptophyte	1	0.5	0.0952380952380952	2	hemicryptophyte=1;therophyte=1	0.238095238095238	0.0519566405323791	false	39
Limonium_vulgare|Polygonum_oxyspermum		categorical	2	Limonium_vulgare,Polygonum_oxyspermum	0.0476190476190476							hemicryptophyte	1	0.5	0.0952380952380952	2	hemicryptophyte=1;therophyte=1	0.238095238095238	0.0519566405323791	false	40
