node	node_name	descendant_taxa	most_likely_state	state_set	state_probabilities	confidence	ambiguous	unstable	interpretation
Plantago_coronopus|Plantago_maritima		Plantago_coronopus,Plantago_maritima	hemicryptophyte	hemicryptophyte	"{""chamaephyte"": 0.00233760167762709, ""geophyte"": 0.00249707375423634, ""helophyte"": 0.00227068257923283, ""hemicryptophyte"": 0.990051614433036, ""therophyte"": 0.00284302755586814}"	0.990051614433036	false	false	strongly supported node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Limonium_vulgare|Polygonum_oxyspermum|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Limonium_vulgare,Polygonum_oxyspermum,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	therophyte	hemicryptophyte,therophyte	"{""chamaephyte"": 0.0618031255414406, ""geophyte"": 0.07570844634321, ""helophyte"": 0.0538033572048961, ""hemicryptophyte"": 0.180551051775465, ""therophyte"": 0.628134019134988}"	0.628134019134988	true	true	unstable node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Honckenya_peploides|Sagina_maritima|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Honckenya_peploides,Sagina_maritima,Salicornia_europaea,Suaeda_maritima	therophyte	therophyte	"{""chamaephyte"": 0.0183646559626007, ""geophyte"": 0.0424201923512897, ""helophyte"": 0.017275703711596, ""hemicryptophyte"": 0.0345289767447376, ""therophyte"": 0.887410471229776}"	0.887410471229776	false	false	moderately supported node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata|Salicornia_europaea|Suaeda_maritima		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata,Salicornia_europaea,Suaeda_maritima	therophyte	therophyte	"{""chamaephyte"": 0.00897050560945818, ""geophyte"": 0.017635330133417, ""helophyte"": 0.00857826408894224, ""hemicryptophyte"": 0.0147929076071976, ""therophyte"": 0.950022992560985}"	0.950022992560985	false	false	strongly supported node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis|Halimione_pedunculata		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis,Halimione_pedunculata	therophyte	therophyte	"{""chamaephyte"": 0.00125783618931225, ""geophyte"": 0.00145936584305946, ""helophyte"": 0.00124871329275545, ""hemicryptophyte"": 0.0013932557417033, ""therophyte"": 0.99464082893317}"	0.99464082893317	false	false	strongly supported node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_laciniata|Atriplex_littoralis		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_laciniata,Atriplex_littoralis	therophyte	therophyte	"{""chamaephyte"": 0.000141712748715575, ""geophyte"": 0.000150120067517985, ""helophyte"": 0.000141332164030749, ""hemicryptophyte"": 0.000147362117569548, ""therophyte"": 0.999419472902166}"	0.999419472902166	false	false	strongly supported node state
Atriplex_calotheca|Atriplex_glabriuscula|Atriplex_littoralis		Atriplex_calotheca,Atriplex_glabriuscula,Atriplex_littoralis	therophyte	therophyte	"{""chamaephyte"": 1.93261529991087e-05, ""geophyte"": 1.94845838717447e-05, ""helophyte"": 1.93189811093368e-05, ""hemicryptophyte"": 1.94326119616405e-05, ""therophyte"": 0.999922437670058}"	0.999922437670058	false	false	strongly supported node state
Atriplex_calotheca|Atriplex_glabriuscula		Atriplex_calotheca,Atriplex_glabriuscula	therophyte	therophyte	"{""chamaephyte"": 4.84597542074974e-06, ""geophyte"": 4.84850708409883e-06, ""helophyte"": 4.8458608167576e-06, ""hemicryptophyte"": 4.84767659331256e-06, ""therophyte"": 0.999980611980085}"	0.999980611980085	false	false	strongly supported node state
Salicornia_europaea|Suaeda_maritima		Salicornia_europaea,Suaeda_maritima	therophyte	therophyte	"{""chamaephyte"": 0.0071430655706235, ""geophyte"": 0.00960953192643424, ""helophyte"": 0.00703141293287768, ""hemicryptophyte"": 0.00880042846328464, ""therophyte"": 0.96741556110678}"	0.96741556110678	false	false	strongly supported node state
Honckenya_peploides|Sagina_maritima		Honckenya_peploides,Sagina_maritima	therophyte	geophyte,therophyte	"{""chamaephyte"": 0.0287689610680303, ""geophyte"": 0.171358066251807, ""helophyte"": 0.0284903542030255, ""hemicryptophyte"": 0.0329045792587168, ""therophyte"": 0.738478039218421}"	0.738478039218421	true	false	moderately supported node state
Limonium_vulgare|Polygonum_oxyspermum		Limonium_vulgare,Polygonum_oxyspermum	therophyte	hemicryptophyte,therophyte	"{""chamaephyte"": 0.0570372792116735, ""geophyte"": 0.0593957264073607, ""helophyte"": 0.0556804582171469, ""hemicryptophyte"": 0.304842587578661, ""therophyte"": 0.523043948585158}"	0.523043948585158	true	true	unstable node state
Cakile_maritima|Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis|Crambe_maritima		Cakile_maritima,Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis,Crambe_maritima	hemicryptophyte	hemicryptophyte,therophyte	"{""chamaephyte"": 0.0188516744764693, ""geophyte"": 0.0191959646044878, ""helophyte"": 0.0185126504009801, ""hemicryptophyte"": 0.528401936697878, ""therophyte"": 0.415037773820185}"	0.528401936697878	true	true	unstable node state
Cakile_maritima|Crambe_maritima		Cakile_maritima,Crambe_maritima	hemicryptophyte	hemicryptophyte,therophyte	"{""chamaephyte"": 0.0133722073324298, ""geophyte"": 0.0134846001666078, ""helophyte"": 0.0132615335907281, ""hemicryptophyte"": 0.527844809058714, ""therophyte"": 0.432036849851521}"	0.527844809058714	true	true	unstable node state
Cochlearia_anglica|Cochlearia_danica|Cochlearia_officinalis		Cochlearia_anglica,Cochlearia_danica,Cochlearia_officinalis	hemicryptophyte	hemicryptophyte,therophyte	"{""chamaephyte"": 0.013864586405709, ""geophyte"": 0.0140119898023848, ""helophyte"": 0.013719437601793, ""hemicryptophyte"": 0.546107321274483, ""therophyte"": 0.41229666491563}"	0.546107321274483	true	true	unstable node state
Cochlearia_anglica|Cochlearia_officinalis		Cochlearia_anglica,Cochlearia_officinalis	hemicryptophyte	hemicryptophyte	"{""chamaephyte"": 0.000420073539661454, ""geophyte"": 0.000421135758155925, ""helophyte"": 0.000419027568215428, ""hemicryptophyte"": 0.995448507978903, ""therophyte"": 0.00329125515506397}"	0.995448507978903	false	false	strongly supported node state
Glaucium_flavum|Ranunculus_baudotii		Glaucium_flavum,Ranunculus_baudotii	hemicryptophyte	chamaephyte,geophyte,helophyte,hemicryptophyte,therophyte	"{""chamaephyte"": 0.127401760925884, ""geophyte"": 0.155120185509149, ""helophyte"": 0.123315548222448, ""hemicryptophyte"": 0.362496155147926, ""therophyte"": 0.231666350194592}"	0.362496155147926	true	true	unstable node state
