parameter	true_value	estimated_value	absolute_error	relative_error	interpretation
continuous_root_state	1.25	1.24228514199229	0.00771485800770999	0.00617188640616799	Brownian root-state estimate recovered from observed tip values on the true tree.
continuous_sigma_squared	0.0225	0.02269933709696	0.00019933709696	0.00885942653155555	Brownian evolutionary rate recovered from observed tip values on the true tree.
