term	estimate	standard_error	test_statistic	p_value	lower_95_confidence_interval	upper_95_confidence_interval	degrees_of_freedom	inference_distribution	significant
intercept	-58.44044986502713	0.11908867030287007	-490.7305599802192	4.884981308350689e-15	-58.731849343728314	-58.14905038632594	6	student-t	True
host_group[canid]	144.74625882207192	52.8581368030873	2.7383912407146687	0.03380771456024756	15.407057449155815	274.08546019498806	6	student-t	True
host_group[livestock]	154.5783892707222	55.44593008238259	2.7879122785215573	0.0316646120911912	18.907085854385144	290.2496926870592	6	student-t	True
