case_id	generating_model	recovery_engine	expected_selected_model	model	parameter_count	log_likelihood	aic	aicc	selected
kappa-transformed-branch-review	pagel-kappa	geiger		ornstein-uhlenbeck	3	4.26667201249533	-2.53334402499066	-1.33334402499066	false
kappa-transformed-branch-review	pagel-kappa	geiger		pagel-lambda	3	4.26667201249478	-2.53334402498955	-1.33334402498955	false
kappa-transformed-branch-review	pagel-kappa	geiger		white-noise	2	-28.2313030623581	60.4626061247163	61.0340346961449	false
delta-transformed-branch-review	pagel-delta	bijux		pagel-kappa	3	-2.7698826254631	11.5397652509262	12.7397652509262	true
delta-transformed-branch-review	pagel-delta	bijux		brownian	2	-4.19613809811226	12.3922761962245	12.9637047676531	false
delta-transformed-branch-review	pagel-delta	bijux		pagel-delta	3	-3.97823065167644	13.9564613033529	15.1564613033529	false
delta-transformed-branch-review	pagel-delta	bijux		early-burst	3	-4.10563548073436	14.2112709614687	15.4112709614687	false
delta-transformed-branch-review	pagel-delta	bijux		pagel-lambda	3	-4.19613809811226	14.3922761962245	15.5922761962245	false
delta-transformed-branch-review	pagel-delta	bijux		ornstein-uhlenbeck	3	-4.19613907028103	14.3922781405621	15.5922781405621	false
delta-transformed-branch-review	pagel-delta	bijux		white-noise	2	-28.0472299279174	60.0944598558348	60.6658884272634	false
delta-transformed-branch-review	pagel-delta	geiger		pagel-kappa	3	-2.76984138830507	11.5396827766101	12.7396827766101	true
delta-transformed-branch-review	pagel-delta	geiger		brownian	2	-4.19613292786295	12.3922658557259	12.9636944271545	false
delta-transformed-branch-review	pagel-delta	geiger		pagel-delta	3	-3.97822210197279	13.9564442039456	15.1564442039456	false
delta-transformed-branch-review	pagel-delta	geiger		early-burst	3	-4.10562616388393	14.2112523277679	15.4112523277679	false
delta-transformed-branch-review	pagel-delta	geiger		ornstein-uhlenbeck	3	-4.19613292786262	14.3922658557252	15.5922658557252	false
delta-transformed-branch-review	pagel-delta	geiger		pagel-lambda	3	-4.19613292786312	14.3922658557262	15.5922658557262	false
delta-transformed-branch-review	pagel-delta	geiger		white-noise	2	-28.0472299279174	60.0944598558349	60.6658884272634	false
