parameter	true_value	estimated_value	absolute_error	relative_error	interpretation
continuous_root_state	1.25	1.24228514154668	0.00771485845331998	0.00617188676265599	Brownian root-state estimate recovered from observed tip values on the true tree.
continuous_sigma_squared	0.0225	0.022699337098704	0.000199337098704001	0.0088594266090667	Brownian evolutionary rate recovered from observed tip values on the true tree.
ou_alpha	2.339434	4.678867	2.339433	0.99999957254618	OU alpha recovered from the governed OU tip trait on the true tree.
ou_theta	1.35	1.33063858504305	0.019361414956947	0.0143417888569978	OU optimum recovered from the governed OU tip trait on the true tree.
ou_sigma_squared	0.0324	0.0289934499723551	0.00340655002764493	0.105140432952004	OU sigma-squared recovered from the governed OU tip trait on the true tree.
