robinson_foulds_distance	normalized_robinson_foulds	pair_count	frequency
0	0	320527	0.641695695695696
2	0.166666666666667	139058	0.278394394394394
4	0.333333333333333	34710	0.069489489489489
6	0.5	5200	0.01041041041041
8	0.666666666666667	5	1.001001001e-05
