species,common_name,mating_system,testes_mass,body_mass,multiple_paternity_percentage,development_mode
Alle_alle,Little auk,pair,2.54,140,0,altricial
Cepphus_grylle,Black Guillemot,pair,2.63,397.1915,0,altricial
Asio_otus,Long eared Owl,pair,2.71,273,0,altricial
Gymnorhina_tibicen,Australian magpie,cooperative,2.97,211.9825,86.36,altricial
Prunella_collaris,Alpine Accentor,polyandrous,3.04,47.1,0,altricial
Corvus_corone,Carrion crow,cooperative,3.04,589,0,altricial
Strix_aluco,Tawny owl,pair,3.2,420,2.7,altricial
Branta_canadensis,Canada Goose,pair,4.26,3878.7,14.29,precocial
Centropus_phasianinus,Pheasant Coucal,pair,4.68,331.9709,47.62,altricial
Cygnus_atratus,Black swan,pair,5.89,6200.1186,37.65,precocial
Accipiter_gentilis,Northern Goshawk,pair,7.29,860.5973,2.56,altricial
Porphyrio_porphyrio,Purple Swamphen,polyandrous,7.33,670,0,precocial
Grus_canadensis,Sandhill cranes,pair,7.83,4500,22,precocial
