partition_id	script_path	overall_status	recovery_action	job_count	rerunnable_job_count	blocked_job_count	failed_job_count	stale_job_count	pending_job_count	variant_ids	likely_cause_codes
compact-mafft-auto-standard	slurm-arrays/compact-mafft-auto-standard.sbatch	completed	no_action	2	0	0	0	0	0	auto-gap-threshold,auto-gappyout	
compact-mafft-ginsi-elevated	slurm-arrays/compact-mafft-ginsi-elevated.sbatch	completed	no_action	2	0	0	0	0	0	ginsi-gap-threshold,ginsi-gappyout	
