check_id	surface	status	expected	observed	detail
workflow-manifest:slurm_job_plan	workflow-manifest	passed	1dfaccc181e3264ef3ca27a54b7e6f38ecad5cf4993e8c9ca92f5fd5061bc051	1dfaccc181e3264ef3ca27a54b7e6f38ecad5cf4993e8c9ca92f5fd5061bc051	slurm_job_plan matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_job_status	workflow-manifest	passed	21cbe38627e6aa31501e64c0b6ef0193f3e4258e904dd3619975c6bbfcfafd97	21cbe38627e6aa31501e64c0b6ef0193f3e4258e904dd3619975c6bbfcfafd97	slurm_job_status matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_partition_status	workflow-manifest	passed	4453774c25cebb2043a0c3907fd73d48d83e7d1feb3050f51a5da29f53968763	4453774c25cebb2043a0c3907fd73d48d83e7d1feb3050f51a5da29f53968763	slurm_partition_status matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_summary	workflow-manifest	passed	f190195723d4afa109d27a1652faa344678bccbae9b0344b1bb7b5512f438c68	f190195723d4afa109d27a1652faa344678bccbae9b0344b1bb7b5512f438c68	slurm_summary matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_workflow_status	workflow-manifest	passed	72dd0af4f92a10859fc48f465645dab68c6e6e3cf9073f8c320f7c1debad4dc5	72dd0af4f92a10859fc48f465645dab68c6e6e3cf9073f8c320f7c1debad4dc5	slurm_workflow_status matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:stable_clades	workflow-manifest	passed	327bf8fd675001749f28120614045b4b63e374ed5cb98524177279485b67720e	327bf8fd675001749f28120614045b4b63e374ed5cb98524177279485b67720e	stable_clades matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:task_logs_root	workflow-manifest	passed	directory exists	present	task_logs_root resolves to an existing directory
workflow-manifest:variant_summary	workflow-manifest	passed	94e0a7813ea68e816d4e6011ae6fe25b97eed6f6f0c955c7201abf429975d1ab	94e0a7813ea68e816d4e6011ae6fe25b97eed6f6f0c955c7201abf429975d1ab	variant_summary matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:variants_root	workflow-manifest	passed	directory exists	present	variants_root resolves to an existing directory
workflow-manifest:workflow_summary	workflow-manifest	passed	c6937a57f2ff0edfec1ff274450c6f89174594e36bf117981bf811abaae94e4f	c6937a57f2ff0edfec1ff274450c6f89174594e36bf117981bf811abaae94e4f	workflow_summary matches the checksum recorded in rabies-method-sensitivity.manifest.json
