dataset_id	variant_id	job_name	taxon_count	dataset_size_class	method_group	resource_class	alignment_mode	trimming_mode	aligned_site_count	trimmed_site_count	bootstrap_replicates	iqtree_threads	estimated_cpus_per_task	estimated_memory_mib	estimated_wallclock_minutes	slurm_time	estimated_scratch_mib	observed_output_bytes	estimated_output_mib	estimated_core_hours	bundle_output_directory	task_log_path	suggested_sbatch_options
rabies_method_sensitivity_panel	auto-gap-threshold	rabies-method-sensitivity-panel-auto-gap-threshold	9	compact	mafft-auto	standard	auto	gap-threshold	1353	1353	1000	1	1	1024	27	00:27:00	256	696028	1	0.45	variants/auto-gap-threshold	parallel-logs/auto-gap-threshold.log	--job-name=rabies-method-sensitivity-panel-auto-gap-threshold --cpus-per-task=1 --mem=1024M --time=00:27:00 --output=slurm-logs/auto-gap-threshold.%j.out --error=slurm-logs/auto-gap-threshold.%j.err
rabies_method_sensitivity_panel	ginsi-gap-threshold	rabies-method-sensitivity-panel-ginsi-gap-threshold	9	compact	mafft-ginsi	elevated	ginsi	gap-threshold	1353	1353	1000	1	2	1280	34	00:34:00	256	696757	1	1.13	variants/ginsi-gap-threshold	parallel-logs/ginsi-gap-threshold.log	--job-name=rabies-method-sensitivity-panel-ginsi-gap-threshold --cpus-per-task=2 --mem=1280M --time=00:34:00 --output=slurm-logs/ginsi-gap-threshold.%j.out --error=slurm-logs/ginsi-gap-threshold.%j.err
rabies_method_sensitivity_panel	auto-gappyout	rabies-method-sensitivity-panel-auto-gappyout	9	compact	mafft-auto	standard	auto	gappyout	1353	1353	1000	1	1	1280	27	00:27:00	256	692645	1	0.45	variants/auto-gappyout	parallel-logs/auto-gappyout.log	--job-name=rabies-method-sensitivity-panel-auto-gappyout --cpus-per-task=1 --mem=1280M --time=00:27:00 --output=slurm-logs/auto-gappyout.%j.out --error=slurm-logs/auto-gappyout.%j.err
rabies_method_sensitivity_panel	ginsi-gappyout	rabies-method-sensitivity-panel-ginsi-gappyout	9	compact	mafft-ginsi	elevated	ginsi	gappyout	1353	1353	1000	1	2	1536	35	00:35:00	256	693370	1	1.17	variants/ginsi-gappyout	parallel-logs/ginsi-gappyout.log	--job-name=rabies-method-sensitivity-panel-ginsi-gappyout --cpus-per-task=2 --mem=1536M --time=00:35:00 --output=slurm-logs/ginsi-gappyout.%j.out --error=slurm-logs/ginsi-gappyout.%j.err
