partition_id	dataset_size_class	method_group	resource_class	job_count	array_spec	script_path	variant_ids	trimming_modes	maximum_cpus_per_task	maximum_memory_mib	maximum_wallclock_minutes	total_estimated_core_hours	suggested_sbatch_command
compact-mafft-auto-standard	compact	mafft-auto	standard	2	0-1	slurm-arrays/compact-mafft-auto-standard.sbatch	auto-gap-threshold,auto-gappyout	gap-threshold,gappyout	1	1280	27	0.9	sbatch --array=0-1 slurm-arrays/compact-mafft-auto-standard.sbatch
compact-mafft-ginsi-elevated	compact	mafft-ginsi	elevated	2	0-1	slurm-arrays/compact-mafft-ginsi-elevated.sbatch	ginsi-gap-threshold,ginsi-gappyout	gap-threshold,gappyout	2	1536	35	2.3	sbatch --array=0-1 slurm-arrays/compact-mafft-ginsi-elevated.sbatch
