engine_name	requested_taxa	matched_taxa	outgroup_monophyletic	rooted_outgroup_taxa	warning_count
fasttree	bat_chile_rv108	bat_chile_rv108	true	bat_chile_rv108	0
iqtree	bat_chile_rv108	bat_chile_rv108	true	bat_chile_rv108	0
